id,name_ko,name_en,category
boucheron,부쉐론,Boucheron,주얼리
bank-of-america,뱅크오브아메리카,Bank of America,은행
nepa,네파,NEPA,아웃도어
jordan,조던,Jordan Brand,스포츠웨어
toyota,토요타,Toyota Motor,완성차
system,시스템,SYSTEM,컨템포러리
china-mobile,차이나모바일,China Mobile,통신사
patek-philippe,파텍필립,Patek Philippe,하이엔드시계
yamazaki,야마자키,Yamazaki,주류
lucid,루시드,Lucid Motors,전기차
ediya,이디야커피,Ediya Coffee,카페체인
asics,아식스,ASICS,스포츠웨어
cetaphil,세타필,Cetaphil,스킨케어
matin-kim,마뗑킴,Matin Kim,디자이너·스트리트
essilorluxottica,에실로룩소티카,EssilorLuxottica,안경·아이웨어
general-mills,제너럴밀스,General Mills,라면·가공식품
gsk,GSK,GSK,제약
bacchus,박카스,Bacchus,일반의약품·소비자헬스
samsung-cnt-fashion,삼성물산 패션부문,Samsung C&T Fashion Group,컨템포러리
tom-ford-beauty,톰 포드 뷰티,Tom Ford Beauty,럭셔리뷰티
citizenm,시티즌엠,citizenM,호텔·리조트
sbs,SBS,Seoul Broadcasting System,방송·신문
bayer,바이엘,Bayer,제약
aekyung,애경산업,Aekyung Industrial,헤어·바디
lotte-card,롯데카드,Lotte Card,카드·결제
framework,프레임워크 랩톱,Framework Computer,PC·주변기기
andersson-bell,앤더슨벨,Andersson Bell,디자이너·스트리트
edf,EDF,Électricité de France,전력·신재생
kfc,KFC,KFC,패스트푸드
chosun-ilbo,조선일보,The Chosun Ilbo,방송·신문
tyson,타이슨푸드,Tyson Foods,육가공·축산
nexon,넥슨,NEXON,게임사
loreal,로레알,L'Oréal,스킨케어
harrods,해러즈,Harrods,백화점
pilot,파이롯트,Pilot,문구·필기구
ferragamo,페라가모,Ferragamo,럭셔리하우스
maje,마쥬,Maje,컨템포러리
vf-corp,VF 코퍼레이션,VF Corporation,아웃도어
mirae-asset-securities,미래에셋증권,Mirae Asset Securities,증권·투자
ryo,려,Ryo,헤어·바디
coty,코티,Coty,향수·니치향수
dr-jart,닥터자르트,Dr.Jart+,스킨케어
lotte-hotel,롯데호텔,Lotte Hotels & Resorts,호텔·리조트
citi,씨티,Citigroup,은행
hamilton,해밀턴,Hamilton,대중시계
ozempic,오젬픽,Ozempic,제약
netflix,넷플릭스,Netflix,콘텐츠스트리밍
tim-hortons,팀홀튼,Tim Hortons,카페체인
signiel,시그니엘,SIGNIEL,호텔·리조트
